--- SUMMARY STATISTICS ---
Total Components,10
Interfaces,7
Ports,6
Messages,7
Functional Flows,5

--- EXTRACTED ENTITIES ---
id,document_id,type,name,description,page
54db8a58-56c7-49a3-9194-cbb5a1ca5cee,695210e4-ccb5-4588-aa56-6fc37d947779,Interface,J1939,"...ons  Added Crypto Service Manager to System Services  Revised presentation of J1939 and added new J1939 modules  Added new energy management concepts: “Pretended Networking”, “ECU Degradation”  Added new modules: “Output Compare Unit Driver” and “Time...",4
b2f37b4a-433a-4881-b847-10a687810964,695210e4-ccb5-4588-aa56-6fc37d947779,Port,CAN port,Extracted Port,4
ba4e2f98-4c66-4a81-a664-6d31ca081078,695210e4-ccb5-4588-aa56-6fc37d947779,Port,LIN port,Extracted Port,4
05a1b612-7817-40d5-8606-28a96a42be9f,695210e4-ccb5-4588-aa56-6fc37d947779,Port,Ethernet port,Extracted Port,4
fcc07b9c-8d10-4fb4-a15f-8292960bb2d0,695210e4-ccb5-4588-aa56-6fc37d947779,Port,FlexRay port,Extracted Port,4
3c8e7345-11f2-43e4-9c91-51ae1af75ff7,695210e4-ccb5-4588-aa56-6fc37d947779,Message,J1939 messages,Extracted Network Message,4
5e55dcc5-89e9-4a5c-be04-22384cfde159,695210e4-ccb5-4588-aa56-6fc37d947779,Message,FlexRay messages,Extracted Network Message,4
0b429a9e-10df-4c67-b2e2-464f2cc203a3,695210e4-ccb5-4588-aa56-6fc37d947779,Message,CAN messages,Extracted Network Message,4
ee219ec7-67cc-4f99-8dfa-6b1ce960f410,695210e4-ccb5-4588-aa56-6fc37d947779,Message,LIN messages,Extracted Network Message,4
8bd2e414-5a3e-4b98-acaf-41168a9da854,695210e4-ccb5-4588-aa56-6fc37d947779,Message,Ethernet frames,"...Geo-Networking = Layer 3 (Addressing based on  geographic areas, the respective Ethernet frames have  their own Ether-Type)   V2X Management: manages cross-layer functionality  (like dynamic congestion control, security, position and  time)    Task:  Provide a un...",50
c1799a9f-96cf-4fd7-a2b8-9d35794fcc8e,695210e4-ccb5-4588-aa56-6fc37d947779,Component,Energy Management,"...ervices  Revised presentation of J1939 and added new J1939 modules  Added new energy management concepts: “Pretended Networking”, “ECU Degradation”  Added new modules: “Output Compare Unit Driver” and “Time Service”  Changed handling of Production Errors  Fixed...",4
a915a5c8-4546-4585-9f2a-6088050825c5,695210e4-ccb5-4588-aa56-6fc37d947779,Component,Diagnostic Event Manager (DEM),...uction code)    Each application software component (SW-C) can report errors to Diagnostic Event Manager (Dem).    page id: g7zre,133
2cd8db23-88da-425c-83ce-82bc6533222d,695210e4-ccb5-4588-aa56-6fc37d947779,Component,EcuM,"...ion of term AUTOSAR-ECU on slide ""94jt1""  Corrected CDD access description for EcuM on slide ""11123“  2009-12-18 4.0.1  AUTOSAR  Administration  Added a note regarding support for System Basis Chips on slide ""94juq“  Clarification of DBG and DLT text...",4
7f75ca6f-674f-4b74-8bdf-9284db4e740d,695210e4-ccb5-4588-aa56-6fc37d947779,Component,System Basis Chip,"...2009-12-18 4.0.1  AUTOSAR  Administration  Added a note regarding support for System Basis Chips on slide ""94juq“  Clarification of DBG and DLT text on slide ""3edfg""  Corrected DBG description on slide ""11231""  2010-02-02 3.1.4  AUTOSAR  Administration  The docu...",4
830b78a8-417a-45f7-872a-28693c4dfd59,695210e4-ccb5-4588-aa56-6fc37d947779,Interface,DEM symbol generation interface,Extracted Interface,4
30cfd204-c977-41b4-b110-d535dd0f311a,695210e4-ccb5-4588-aa56-6fc37d947779,Interface,CDD access interface,Extracted Interface,4
44b8d183-a09c-4b8d-9928-636779dd3231,695210e4-ccb5-4588-aa56-6fc37d947779,Port,AUTOSAR-ECU port,Extracted Port,4
42ca9377-5d9c-42ce-b080-5a6f47fdb29e,695210e4-ccb5-4588-aa56-6fc37d947779,Port,System Basis Chip port,Extracted Port,4
54ea873e-cf9f-4a34-acbd-dd33bcc2fc6f,695210e4-ccb5-4588-aa56-6fc37d947779,Signal,DBG text,Extracted Signal,4
94b1f890-82ca-4345-9945-208527cbbe2a,695210e4-ccb5-4588-aa56-6fc37d947779,Signal,DLT text,"...ding support for System Basis Chips on slide ""94juq“  Clarification of DBG and DLT text on slide ""3edfg""  Corrected DBG description on slide ""11231""  2010-02-02 3.1.4  AUTOSAR  Administration  The document has been newly structured. There are now 3 main p...",4
ce176b78-b194-4ff9-a04c-e05540a3bc59,695210e4-ccb5-4588-aa56-6fc37d947779,ECU,AUTOSAR-ECU,"...g DEM symbol generation  Fixed minor typography issues  Clarification of term AUTOSAR-ECU on slide ""94jt1""  Corrected CDD access description for EcuM on slide ""11123“  2009-12-18 4.0.1  AUTOSAR  Administration  Added a note regarding support for System Basi...",4
